"eng","tr","telaffuz","Derece","Tek"
"Indifferent","Umursamaz, kaygısız","","genel","0"
"Flax seed","Keten tohumu","","zor","0"
"Confine","Kısıtlamak","","genel","0"
"Deficient","Eksik","Dıfişınt","zor","0"
"Deficiency","Eksiklik","Dıfişınsi","zor","0"
"Deliberate","Kasti, kasıtlı","Dılıbırıt","zor","0"
"Oblige","Zorunda bırakmak","Iblayç","zor","0"
"Obligation","Zorunluluk, mecburiyet","Ablıgeyşın","zor","0"
"Candidate","Aday","Kendıdıt","zor","0"
"Allage","İddia etmek","Alıç","zor","0"
"Allegation","İddia, savunu","Alıgeyşın","zor","0"
"Accountant","Muhasebeci","Ekauntınt","genel","0"
"Deficit","Açık (hesapta)","Defisit","zor","0"
"Appointment","Atama, randevu","","genel","0"
"Torment","Istırap","Torment","zor","0"
"Dormant","Pasif yanardağ","Dormınt","zor","0"
"Abstain","Çekinmek, kaçınmak","Absıteyn","genel","0"
"Expand","Genişlemek, yayılmak","İkspend","zor","0"
"Explain","Açıklamak","İkspıleyn","zor","0"
"Pronunciation","Telaffuz","Pırınansieyşın","zor","0"
"Perceive","Algılamak","Pırsiv","zor","0"
"Persist","Israr etmek","Pırsist","zor","0"
"Persistent","Israrcı","Pırsistınt","zor","0"
"Percent","Yüzde","Pırsent","zor","0"
"Percentage","Yüzde","Pırsentıç","zor","0"
"Pursue","Takip etmek, izlemek","Pırsüu","zor","0"
"Persuade","İkna etmek","Pırsueyd","zor","0"
"Pronounce","Telaffuz etmek","Pırınauns","zor","0"
"Excited","Heyecanlı","İgzaytıd","zor","0"
"Exciting","Heyecan verici","İgzayting","zor","0"
"Expect","Beklemek, ummak","İkspekt","zor","0"
"Intermittent","Aralıklı (oruç vs.)","İntırmitınt","zor","0"
"Extinct","Tükenmiş, yok olmuş","İkstinkt","zor","0"
"Species","Tür","Sipişiz","zor","0"
"Symbolic","Sembolik","Simbalik","zor","0"
"Distinct","Bariz","","genel","0"
"Rub","Sürtmek, ovmak, sürtünmek","Rab","genel","0"
"Rob","Soymak","Rab","genel","0"
"Hedgehog","Kirpi","Heçhag","zor","0"
"Comedian","Komedyen","Kımidiyın","zor","0"
"Fondle","Okşamak","Fandıl","zor","0"
"Pat","Okşamak","Pet","zor","0"
"Caress","Okşamak","Kıres","genel","0"
"Washbasin","Lavabo","Voşbeysın","genel","0"
"Washbowl","Lavabo","Voşboul","genel","0"
"Extinction","Neslin tükenmesi","İkstinkşın","genel","0"
"Hippopotamus","Su aygırı","Hipıpatımıs","zor","0"
"For hundreds of years","Yüzlerce yıldır","","deyim","0"
"For thousands of years","Binlerce yıldır","","deyim","0"
"Develop","Gelişmek, geliştirmek","Divelop","genel","0"
"r&d center","Ar-ge merkezi","","deyim","0"
"Research and development","Ar-ge","","deyim","0"
"Seal","Fok, kaşe, mühür, mühürlemek","","zor","0"
"Obesity","Obezite","Obisiti","zor","0"
"Theory","Teori","Thiıri","zor","0"
"Locality","Muhit, bölge, semt","Lokaliti","zor","0"
"Chronic","Kronik","Kıronik","genel","0"
"Placebo","Plasebo","Pılısibo","zor","0"
"Therapy","Terapi","Therapi","zor","0"
"Chaos","Kaos","Keyas","zor","0"
"Monitor","Ekran, izlemek, gözlemlemek","Manitır","zor","0"
"Bland","Şahsiyetsiz, kimsenin dikine gitmeyen, mülayim, yumuşak","","zor","0"
"Crisis","Kriz","Kıraysıs","zor","0"
"Crises","Krizler","Kıraysis","zor","0"
"Factory","Fabrika","Fektıri","genel","0"
"Evacuate","Tahliye etmek","İveküeyt","genel","0"
"Courteous","Kibar, nazik","Körtiyıs","zor","0"
"Abolish","Fes etmek","Ibalış","zor","0"
"Contest","Yarışma","Kontest","zor","0"
"Courageous","Cesur, yiğit","Kıreycıs","zor","0"
"Initiative","Girişim, girişkenlik","İnişitiv","genel","0"
"Abolition","Fes etme","Abılıjın","zor","0"
"Autonomous","Otonom, özert","Otonımıs","genel","0"
"Violate","İhlal etmek","Vayleyt","genel","0"
"Violation","İhlal","Vayleyşın","genel","0"
"Mediterranean","Akdeniz","Meditırreyniın","genel","0"
"Summon","Davet etmek, çağırmak","Samın","genel","0"
"Summons","Davet","Samıns","genel","0"
"Fuss","Yaygara, telaş","","genel","0"
"Fussy","Telaşlı","","genel","0"
"Acquit","Aklamak, temize çıkarmak","Akuit","zor","0"
"Acquisition","Edinim, kazanım, kazanç","Akuızişın","zor","0"
"Plot","Arsa, hikayenin konusu, komplo, komplo kurmak, entrika","Pılat","zor","0"
"Land","Arsa, arazi","","genel","0"
"Bow","Yay, başla selamlama, pruva (geminin uç kısmı)","bov","zor","0"
"Arc","Yay","Ark","genel","0"
"Arch","Kemer","Arç","genel","0"
"Archer","Okçu","","genel","0"
"Mildew","Küf, küflenmek, küflendirmek","Mildüu","zor","0"
"Mold - Mould","Küf, şekil, yapı, yaradılış, kalıba dökmek, biçimlendirmek, şekil vermek, küflendirmek","","zor","0"
"Metal","Metal","Metıl","zor","0"
"Technology","Teknoloji","Teknalıci","zor","0"
"Bakery","Fırın","","genel","0"
"Bake","Fırında pişirmek","","genel","0"
"Baker","Fırıncı","","genel","0"
"Furnace","Fırın, ocak","Förnıs","zor","0"
"Chief","Şef, amir, başlıca, ana","Çif","genel","0"
"Carb","Karbonhidrat","Karb","genel","0"
"Carbohydrate","Karbonhidrat","Karbıhaydıreyt","genel","0"
"Protein","Protein","Pırotin","genel","0"
"Entrepreneur","Girişimci","Antırapıranör","genel","0"
"Protect","Korumak","Pırıtekt","zor","0"
"Explode","Patlamak, patlatmak","Ekspılod","zor","0"
"Exploit","Kahramanca davranış, sömürmek","İkspıloyt","zor","0"
"Tsunami","Tsunami","Sunami","zor","0"
"Batch","Tek seferde alınan miktar, grup, yığın","Beç","zor","0"
"Run into","Rast gelmek, denk gelmek, çarpmak, çarpışmak","","deyim","0"
"Province","İl, vilayet","Pırovins","genel","0"
"Spare part","Yedek parça","","zor","0"
"Halter","Yular, idam ipi","Holtır","zor","0"
"Halt","Durdurmak, durmak","Holt","zor","0"
"Backup","Yedek","","zor","0"
"For a long time to come","Gelecekte","","deyim","0"
"Dietitian","Diyetisyen","Dayıtişın","genel","0"
"Diplomacy","Diplomasi","Diplomısi","genel","0"
"Telegram","Telgraf","Telıgırem","genel","0"
"Intercept","Alıkoymak, önlemek, yolunu kesmek, tutmak","İntırsept","zor","0"
"Interception","Alıkoyma, önleme","İntırsepşın","zor","0"
"Escalate","Kızışmak, tırmanmak, yükseltmek, artmak (Anlaşmazlık, savaş vs.)","","zor","0"
"Emphasize","Vurgulamak","Emfısayz","zor","0"
"Lit","Yanan, tutuşan, yanmış, tutuşmuş","Lit","zor","0"
"Justify","Savunmak, gerekçe göstermek, gerekçelendirmek","Castifay","zor","0"
"Justification","Gerekçe","Castifikeyşın","zor","0"
"Jurisdiction","Yargı","Curisdikşın","zor","0"
"Tract","Arazi, saha, bölge, alan, geniş arazi, sistem (sindirim sistemi vs.)","Tırekt","zor","0"
"Apartheid","Irkçılık, ırk ayrımı","Aparthayd","zor","0"
"Agent","Temsilci, vekil, ajan, etken, faktör, unsur","Eycınt","zor","0"
"Terrain","Arazi","Tırreyn","genel","0"
"Course","Kurs, izlenen yol, rota","Kors","zor","0"
"Route","Rota, güzergah","Rut","zor","0"
"Tongue","Dil","Tang","zor","0"
"Orient","Doğu, şark, doğuya yönelme, yönelmek","Oriınt","zor","0"
"Orientation","Alışma, uyum sağlama, yönelme, doğuya yönelme","Oriınteyşın","zor","0"
"Fuse","Sigorta, eritmek, fitil","","genel","0"
"Emphasis","Vurgu","Emfısıs","genel","0"
"Patent","Patent","Peytınt","zor","0"
"Grow apart","Yavaş yavaş kopmak, ayrı düşmek","","deyim","0"
"Infiltrate","İçeri sızmak, sızmak","","genel","0"
"İllustrate","Örneklerle açıklamak, resimlendirmek, tanımlamak, sergilemek, netleştirmek","İlıstıreyt","zor","0"
"Couple","Eşleştirmek, çift","","genel","0"
"Substitute","Yedek oyuncu, yedek, yerine geçmek","Sabstitüut","genel","0"
"Survival","Hayatta kalma","Sırvayvıl","zor","0"
"Congregation","Cemaat","Kangırıgeyşın","zor","0"
"Depiction","Tasvir, betimleme, tarif","Dıpikşın","zor","0"
"Depict","Tasvir etmek","Dıpikt","zor","0"
"Traditional","Geleneksel","Tırıdişınıl","zor","0"
"Dilute","Seyreltmek","Daylüut","genel","0"
"Hurdle","Engel, mani","Hördıl","genel","0"
"Sob","Hıçkırarak ağlamak, hıçkırmak, hıçkırık","Sab","zor","0"
"Strip","Şerit, soymak","","zor","0"
"Halve","Yarım","Haf","zor","0"
"Deceit","Hilekarlık","Disit","zor","0"
"Deceitful","Hilekar","Disitful","zor","0"
"Crumble","Ufalamak","Kırambıl","genel","0"
"Contemporary","Çağdaş, modern","Kıntempıreri","genel","0"
"Counterpart","Mevkidaş","","genel","0"
"Customary","Geleneksel","Kastımıri","zor","0"
"Half","Yarım","Haf","zor","0"
"Inequality","Eşitsizlik","İnikualıti","zor","0"
"Cucumber","Salatalık, hıyar","Kükambır","zor","0"
"Comma","Virgül","Koma","zor","0"
"Semi colon","Noktalı virgül","Semi kolın","zor","0"
"Exclamation","Ünlem","Ekskılımeyşın","zor","0"
"Exclamation mark","Ünlem işareti","Ekskılımeyşın mark","zor","0"
"Bracket","Parantez","Bırekit","zor","0"
"Caretaker","Bakıcı","","zor","0"
"Spatial","Uzaysal, mekansal","Sipeyşıl","zor","0"
"Fallible","Yanılabilir","Felıbıl","zor","0"
"Bestow","Hediye etmek, sunmak, bağışlamak, (hak) tanımak, vermek","Bistov","zor","0"
"Connotation","Çağrışım","Kanıteyşın","zor","0"
"Connotate","Çağrışım yapmak","Kanıteyt","zor","0"
"Brick","Tuğla","","zor","0"
"Tour","Tur","Tur","zor","0"
"Object","Obje, nesne, amaç, gaye","Abcekt","zor","0"
"Object","İtiraz etmek, karşı çıkmak","Ibcekt","zor","0"
"Objective","Objektif, nesnel, hedef, amaç","Ibcektiv","zor","0"
"Claim","İddia etmek, talepte bulunmak, iddia, talep, istek","Kıleym","genel","0"
"Acclaim","Alkışlamak, övgü","Ikıleym","zor","0"
"Applaud","Alkışlamak","Apılad","zor","0"
"Applause(s)","Alkışlar","Apılas(ıs)","zor","0"
"Clap","Alkışlamak","Kılep","genel","0"
"Adjective","Sıfat","Ecektiv","genel","0"
"Pronoun","Zamir","Pıronaun","genel","0"
"Subject","Özne, halk, denek, konu","Sabcekt","genel","0"
"Fire fighter","İtfaiyeci","","genel","0"
"Match","Kibrit","","genel","0"
"Rock","Sallanmak, sallamak, elmas, dolar, para, değerli taş, kaya","","genel","0"
"Still","Fotoğraf","","genel","0"
"To say the least","En hafif tabirle","","deyim","0"
"Upbeat music","Hareketli müzik","","genel","0"
"Hoarder","İstifçi","","genel","0"
"Bookcase","Kitaplık","","genel","0"
"Sentimental","Duygusal","","genel","0"
"Sentiment","Hassaslık, duyarlılık, duygusallık","Sentimınt","zor","0"
"Closet","Elbise dolabı","Kılazıt","genel","0"
"Seasoning","Baharat, çeşni","Sizıning","genel","0"
"Spice","Baharat","Sıpays","genel","0"
"Condiment","Baharat, sos, çeşni","Kandımınt","zor","0"
"Upbeat","Hareketli, eğlenceli","","genel","0"
"Schema","Şema","Sikima","zor","0"
"Massacre","Katliam","Mesıkır","genel","0"
"Shriek","Çığlık atmak","Şırik","genel","0"
"Captive","Esir, tutsak","","genel","0"
"Captivate","Cezbetmek","","genel","0"
"Malicious","Kötücül","Mılışıs","genel","0"
"Consonant","Ünsüz","Kansınıt","genel","0"
"Consulate","Konsolosluk","Kansılıt","genel","0"
"Carpenter","Marangoz","Karpıntır","genel","0"
"Tomato","Domates","Tımeyto","genel","0"
"Interest","Faiz, çıkar, menfaat, ilgi, alaka, ilgilendirmek","İntırıst","zor","0"
"Interested","İlgili, alakalı","İntırıstıd","zor","0"
"Publicly","Herkesin önünde, açıktan açığa","Pablıkli","genel","0"
"Mobile","Seyyar","Mobıl","zor","0"
"Hairclip","Toka","Heırkılip","genel","0"
"Ratify","Onaylamak","Retifay","genel","0"
"Abrogate","Fesh etmek","Ebrıgeyt","zor","0"
"Repeal","Fesh etmek","Repiıl","zor","0"
"Foam","Köpük","Fom","genel","0"
"Coup","Askeri darbe","Ku","zor","0"
"Tremble","Ürpermek, titremek, ürperme, titreme","Tırembıl","zor","0"
"Overthrow","Devirmek, alaşağı etmek","","genel","0"
"Smack","Şamar, tokat, tokatlamak, şamarlamak","","genel","0"
"Tweezers","Cımbız","Tuizırs","zor","0"
"Mug","Kulplu bardak, kupa","Mag","zor","0"
"Vowel","Ünlü harf, sesli harf","Vavıl","genel","0"
"Exorbitant","Aşırı yüksek, astronomik (rakam vs.), fahiş (fiyat)","İgzorbitınt","genel","0"
"Overlook","Görmezden gelmek","","genel","0"
"Knock out","Yenmek, devirmek, yere yıkmak","Nak aut","deyim","0"
"Spreadsheet","Hesap tablosu","Sıpredşit","genel","0"
"Latte","Latte","Late","zor","0"
"Status quo","Mevcut durum, alışılmış, statüko","","genel","0"
"Every once in a while","Ara sıra, arada bir","","deyim","0"
"Rapper","Ağzına geldiği gibi konuşan","","genel","0"
"Rapport","Uyum","Rıpor","zor","0"
"Report","Rapor, rapor vermek","Riport","genel","0"
"Nod","Başı ile onaylamak, kafa sallamak (onay anlamında)","Nad","zor","0"
"Pad","Yumuşak bir maddeden yapılmış koruyucu şey, ufak yastık, içini doldurmak (yumuşak madde ile)","Ped","zor","0"
"Suitcase","Bavul","","genel","0"
"Omission","İhmal","Omişın","zor","0"
"Comprise","Kapsamak, içermek","Kımpırayz","zor","0"
"Frail","Hafif ve kırılgan, çelimsiz, narin","Fıreıl","genel","0"
"Fracture","Çatlak, kırık","Fırakçır","genel","0"
"Fragile","Kırılgan","Fıracıl","genel","0"
"Cavalry","Süvari, atlı asker","Kevılıri","zor","0"
"Canvas","Tuval","Kenvıs","zor","0"
"Voluntary","İsteyerek yapılan, gönüllü","Volıntıri","zor","0"
"Involuntary","İstemeyerek yapılan, istemsiz, gayri ihtiyari","İnvolıntıri","zor","0"
"Extend","Uzatmak, genişletmek, sunmak (taziye/kutlama vs.)","İkstend","zor","0"
"Dashboard","Arabanın gösterge tablosu","Deşbord","zor","0"
"Traitor","Hain, vatan haini","Tıreytır","zor","0"
"Treacherous","Hain","Çıreçırıs","zor","0"
"Betrayer","Hain","Bıtıreyır","zor","0"
"Torpedo","Torpido","Torpido","zor","0"
"Unfasten","Çözmek","","genel","0"
"Outsider","Dışlanmış, aykırı tip","","genel","0"
"Foreign","Yabancı","Forın","genel","0"
"Foreigner","Yabancı","Forınır","genel","0"
"Line","Olta, ip","","zor","0"
"Fishing line","Olta","","zor","0"
"Fishing rod","Olta","","genel","0"
"Haul","Vurgun, taşımak, çekmek, sürüklemek","Hol","zor","0"
"Poor","Fakir","Por","zor","0"
"Stereotyped","Basmakalıp","Siteriotaypd","zor","0"
"Slam","Yerden yere vurmak, çok kötü eleştirmek","","zor","0"
"Slay","Katletmek, vahşice öldürmek","","zor","0"
"Disseminate","Neşretmek, saçmak, yaymak","","zor","0"
"Flick","Fiske vurmak, hafif vuruş","","zor","0"
"Flip","Fiske atmak, fiske","","zor","0"
"Collaborate","İş birliği yapmak","Kılabıreyt","zor","0"
"Panther","Panter","Penthır","genel","0"
"Moss","Yosun","Mas","genel","0"
"İnsidiously","Sinsice","","genel","0"
"Retaliate","Misilleme yapmak","Ritelieyt","zor","0"
"Retaliation","Misilleme","Ritelieyşın","zor","0"
"Fortunate","Şanslı, kısmetli","","genel","0"
"Derby","Derbi","Dörbi","genel","0"
"Ooze","Sızdırmak, kaçak yapmak, sızmak","Uz","genel","0"
"Take an oath","Yemin etmek, ant içmek","Teyk en outh","genel","0"
"Vow","Yemin, ant, adak, yemin etmek, ant içmek","Vauv","genel","0"
"Pointed","Sivri, sivri uçlu","Pointıd","genel","0"
"For no reason","Öylesine","","deyim","0"
"Jeweler","Kuyumcu","Culır","genel","0"
"Scheme","Plan, proje","Sikim","genel","0"
"Kitten","Yavru kedi","Kitın","genel","0"
"Provision","Koşul, hüküm, karşılık, tedarik","Pırvijın","genel","0"
"Stutter","Kekelemek","Sıtadır","genel","0"
"Illicit","Yasa dışı","İlisit","genel","0"
"Voucher","Fiş, makbuz","Vauçır","genel","0"
"Lease","Kiralamak","Lis","genel","0"
"Tyranny","Zorbalık","Tırıni","zor","0"
"Hail","Dolu, dolu yağmak, selamlamak, seslenmek, çağırmak","Heıl","genel","0"
"Consular","Konsolosluk","Kansılır","genel","0"
"Heel","Topuk","Hiıl","genel","0"
"Squint","Şaşı","Sıkuint","genel","0"
"Sober","Ayık, sarhoş olmayan","Sobır","genel","0"
"Diameter","Çap","Dayemitır","genel","0"
"Radius","Yarı çap","Reydiyıs","genel","0"
"Falsify","Tahrif etmek, çarpıtmak (gerçekleri)","","genel","0"
"Salute","Selamlamak, selam vermek","Sılut","genel","0"
"Replica","Kopya","Replika","genel","0"
"Dwarf","Cüce","Dıvorf","genel","0"
"Gnome","Cüce","Nom","genel","0"
"Robust","Turp gibi","Robast","genel","0"
"Rubble","Moloz, yığın","Rabıl","genel","0"
"Insatiable","Doyumsuz","İnseyşıbıl","genel","0"
"Mediate","Aracılık etmek","Midieyt","genel","0"
"Insulate","İzole etmek","İnsıleyt","genel","0"
"Startle","Ürkütmek","Sıtartıl","genel","0"
"Regression","Gerileme","Rıgıreşın","genel","0"
"Sapling","Fidan","","genel","0"
"Grass","Çimen, ot","Gıres","genel","0"
"Legislate","Yasalaştırmak","Lecısleyt","genel","0"
"Legislation","Mevzuat","","genel","0"
"Siege","Kuşatma","Siç","genel","0"
"Sieve","Süzgeç","Siv","genel","0"
"Hop","Sekmek, sıçramak","Hap","genel","0"
"Relentless","Acımasız, gaddar","Rılentlıs","genel","0"
"Boggle","Ürkmek","Bagıl","genel","0"
"Debris","Moloz, yığın","Dıbri","genel","0"
"Wreck","Enkaz","Rek","genel","0"
"On account of","Dolayı, yüzünden, sayesinde","","deyim","0"
"Submit","Sunmak","Sıbmit","genel","0"
"Forensic","Adli","Fırenzik","zor","0"
"Abrasion","Aşınma, aşındırma","Abıreyjın","genel","0"
"Erode","Aşınmak, aşındırmak","İrod","genel","0"
"Base","Baz (Asitin zıttı olan)","Beys","genel","0"
"Bizarre","Garip, acayip","Bızar","zor","0"
"Pesticide","Böcek ilacı","Pestisayd","genel","0"
"Plough","Sabanla sürmek","Pılau","genel","0"
"Viva","Sözlü sınav, sözlü olarak","Viva","zor","0"
"Viva voce","Sözlü olarak, sözlü sınav","Viva voçe","zor","0"
"Cascade","Küçük şelale","Keskeyd","genel","0"
"Weave - Wove - Woven","Dokumak","","genel","0"
"Plateau","Plato","Pılato","zor","0"
"Odour","Koku","Odır","genel","0"
"Raid","Baskın yapmak, baskın, akın","","genel","0"
"Fancy","Süslü, fantazi","","genel","0"
"Disparate","Bambaşka, apayrı, farklı","Dispırıt","zor","0"
"Desperate","Çaresiz","Despırıt","genel","0"
"Barrel","Fıçı, varil","Berıl","genel","0"
"Mulberry","Dut","Molberi","genel","0"
"Celery","Kereviz","Selıri","zor","0"
"Broccoli","Brokoli","Bırokıli","genel","0"
"Leek","Pırasa","Lik","genel","0"
"Beet","Pancar","Bit","genel","0"
"Cabbage","Lahana","Kebiç","genel","0"
"Zucchini","Kabak","Zukini","genel","0"
"Crescent","Hilal","Kıresınt","genel","0"
"Ornate","Süslü","","genel","0"
"Ornament","Süs","Ornımınt","genel","0"
"Ambiguous","Belirsiz, muğlak","Embiguıs","genel","0"
"Feather","Tüy","Fedır","genel","0"
"Diploma","Diploma","Diploma","genel","0"
"Damp","Nemli, rutubetli, nem, rutubet","","genel","0"
"Humid","Nemli, rutubetli","","genel","0"
"Humidity","Nem, rutubet","","genel","0"
"Ornamental","Süs, süsle ilgili","Ornımentıl","genel","0"
"Groom","Damat","","genel","0"
"Bride","Gelin","","genel","0"
"Wrap","Sarmak, sargı","Rep","genel","0"
"Emit","Yaymak","İmit","genel","0"
"Modest","Alçak gönüllü","Madıst","genel","0"
"Humble","Alçak gönüllü","Hambıl","genel","0"
"Modesty","Alçakgönüllülük","Madısti","genel","0"
"Humbleness","Alçakgönüllülük","","genel","0"
"Humility","Alçakgönüllülük","","zor","0"
"Feat","Beceriklilik, kahramanlık, ustalık, beceri, marifet","Fiit","genel","0"
"Debut","İlk çıkış (Sahneye, toplum önüne)","Deybüu","zor","0"
"Epiphani","Tezahür anı, aydınlanma anı","İpifini","zor","0"
"Latent","Örtülü, gizil, belirti göstermeyen","Leytınt","zor","0"
"For a long time now","Kaç zamandır","","deyim","0"
"Bond","Tutturmak, birleştirmek, bağ","Band","genel","0"
"Bound","Zıplamak, sıçramak, bağ","Baund","genel","0"
"Bind - Bound - Bound","Ciltlemek, bağlamak","","genel","0"
"Bounce","Zıplamak, sektirmek, sekmek","Bauns","genel","0"
"Peer review","Akran değerlendirmesi","","genel","0"
"Peer","Akran, eş","","genel","0"
"Repetition","Tekrar","Repitişın","genel","0"
"Reputation","Ün, şöhret","Repüteyşın","genel","0"
"Deputy","Milletvekili, vekil","Depüti","genel","0"
"Scorn","Hor görmek, küçümsemek","","genel","0"
"Scold","Azarlamak","","genel","0"
"Aunt","Hala, teyze","Ant","genel","0"
"Ambulance","Ambülans","Embılıns","genel","0"
"News","Haber, haberler","Nüus","genel","0"
"After a while","Bir süre sonra","","deyim","0"
"Woman","Kadın","Vumın","genel","0"
"Women","Kadınlar","Vimin","genel","0"
"Squash","Kabak, izdiham, bastırmak, sıkıştırmak","","genel","0"
"Parade","Geçit töreni","Pıreyd","zor","0"
"Baptism","Vaftiz","Beptizim","zor","0"
"Ceremony","Tören, merasim","Serimoni","genel","0"
"Cream","Krema, kaymak, krem","Kırim","genel","0"
"Zipper","Fermuar","","genel","0"
"Deceive","Aldatmak","Disiv","genel","0"
"Deception","Aldatma","Disepşın","zor","0"
"Slab","Levha, tabaka","","zor","0"
"Rubber","Kauçuk, lastik","Rabır","zor","0"
"Lie - lay - lain","","","zor","0"
"Lay - laid - laid","","","zor","0"
"Bush","Çalı","Buş","genel","0"
"Bushy","Gür","Buşi","genel","0"
"Bull","Boğa","Bul","genel","0"
"Bully","Kabadayı","Buli","genel","0"
"Bulky","Kocaman, cüsseli, iri yarı","Bolki","genel","0"
"Trunk","Bagaj, gövde","","genel","0"
"Behave yourself","Kendine gel","","deyim","0"
"Not my cup of tea","Bana göre değil","","deyim","0"
"See if i care","Çokta umrumdaydı","","deyim","0"
"Another day another dollar","Aynı tas aynı hamam","","deyim","0"
"Watch your language","Sözlerine dikkat et","","deyim","0"
"Spill the beans","Ağzındaki baklayı çıkar","","deyim","0"
"How time flies","Zaman nasılda geçiyor","","deyim","0"
"Grin and bear it","Sık dişini","","deyim","0"
"All good things must come to an end","Her güzel şeyin bir sonu vardır","","deyim","0"
"Easy come easy go","Haydan gelen huya gider","","deyim","0"
"Now you are talking","Bana bunlarla gel","","deyim","0"
"Take it or leave it","İşine gelirse","","deyim","0"
"Grin","Sırıtmak","","genel","0"
"Seize - Seise","Zorla almak, el koymak","Siiz","genel","0"
"Snatch","Kapmak, kapışmak","Sıneç","genel","0"
"Grab","Kapmak, yakalamak","Gıreb","genel","0"
"Proverb","Atasözü","Pıravörb","genel","0"
"Preface","Önsöz","Pırefıs","genel","0"
"Foreword","Önsöz","Forvırd","genel","0"
"Crab","Yengeç","Kıreb","genel","0"
"Crap","Çöp, pislik, zırva, saçmalık","Kırep","genel","0"
"Medicine","Tıp","","genel","0"
"Medication","İlaç","","genel","0"
"Faculty","Fakülte","Fekılti","genel","0"
"Prejudice","Önyargı","Pırecıdıs","genel","0"
"Branch","Branş, dal, şube, dallanmak","Bırenç","genel","0"
"Branch office","Şube","","genel","0"
"Grasp","Kavramak, sıkı sıkı tutmak","","genel","0"
"Rasp","Törpü, törpülemek","Resp","genel","0"
"Head back","Geri dönmek","","genel","0"
"Clip","Kırpmak (Saç vs.), ataş","","genel","0"
"Trim","Kırpmak (Saç vs.)","","genel","0"
"Department store","Alışveriş merkezi","","genel","0"
"Store","Mağaza, depo, dükkan, depolamak","","genel","0"
"Swine","Domuz","Suvayn","genel","0"
"Marsh","Bataklık","Marş","genel","0"
"Expense","Gider","İkspens","genel","0"
"Expanse","Genişleme, açılma","İkspens","genel","0"
"Extravagant","Savurgan","İkstıravıgınt","genel","0"
"Infallible","Yanılmaz, şaşmaz","İnfelıbıl","genel","0"
"Culprit","Suçlu","Kalpırıt","genel","0"
"Detest","İğrenmek, tiksinmek","","genel","0"
"Comply","İtaat etmek, boyun eğmek","","genel","0"
"Comply with","Boyun eğmek, itaat etmek","","genel","0"
"Pretext","Bahane","","genel","0"
"Ingrained","Kökleşmiş","","genel","0"
"Outline","Taslağını çizmek, taslak","","genel","0"
"Aeroplane","Uçak","Eoropıleyn","genel","0"
"Mummy","Mumya","","genel","0"
"Mummify","Mumyalamak","","genel","0"
"Maternal","Anne ile ilgili","Mıtörnıl","genel","0"
"Coffin","Tabut","Kafın","genel","0"
"Meticulous","Titiz","Mitikılıs","genel","0"
"Rigorous","Titiz","","genel","0"
"Regulatory","Düzenleyici","Regılıtori","genel","0"
"Vitamin","Vitamin","Vaytımin","genel","0"
"Mineral","Mineral","Minırıl","genel","0"
"Drawer","Çekmece","Dırour","genel","0"
"Gangrene","Kangren","Gengırin","genel","0"
"Necrosis","Kangren","Nikrosıs","genel","0"
"Palace","Saray","Palıs","genel","0"
"Mush","Lapa","Maş","genel","0"
"Mushy","Lapa gibi","Maşi","genel","0"
"Prosecutor","Savcı","Pırasikütır","genel","0"
"Persecution","Zulüm","","genel","0"
"Outrage","Zulüm","","genel","0"
"Starch","Nişasta","","genel","0"
"Starchy","Nişastalı, sert, katı","","genel","0"
"Jewel","Mücevher","Cul","genel","0"
"Jewellery","Mücevherat, kuyumculuk","Culıri","genel","0"
"Jeweler","Kuyumcu","Culır","genel","0"
"Jew","Yahudi","Cu","genel","0"
"Hoof","Toynak","Huf","genel","0"
"Dull","Donuk, sıkıcı, mat","Dal","genel","0"
"Roughness","Pürüzlülük, Pürüz, kabalık","","genel","0"
"Rough","Pürüzlü, kaba saba, sert, kabataskak","","genel","0"
"New","Yeni","Nüu","genel","0"
"Status","Statü, hal, durum, mevki","Sıtatıs","genel","0"
"Statue","Heykel","Sıtaçu","genel","0"
"Cardigan","Hırka","","genel","0"
"Sweater","Kazak","Suvetır","genel","0"
"Shirt","Gömlek","","genel","0"
"Obstinate","İnatçı, inatçılık etmek","Abstınıt","genel","0"
"Weld","Kaynak yapmak, kaynak","","genel","0"
"Infringement","İhlal","","genel","0"
"Conceit","Kibir, gurur","Kınsit","genel","0"
"Tingle","Sızlamak, sızı","","genel","0"
"Tickle","Gıdıklamak, gıdıklanmak","","genel","0"
"Ache","Acı, sızı, ağrımak","Eyk","genel","0"
"Deceit","Hilekarlık","","genel","0"
"Marvel","Mucize, olağanüstü şey","","genel","0"
"Marvelous","Harika, müthiş","","genel","0"
"Claw","Pençe","Kılou","genel","0"
"Woods","Orman","","genel","0"
"Period","Periyot","Piriıd","genel","0"
"Cupboard","Dolap","Kabırd","zor","0"
"Relegate","Küme düşürmek, aşağı mevkiye indirmek, sürgün etmek","","genel","0"
"Banish","Sürgün etmek","","genel","0"
"Assent","Anlaşmaya varmak, onay, kabul, rıza","Isent","genel","0"
"Adage","Atasözü","Edıç","genel","0"
"Slum","Gecekondu","","genel","0"
"Stampede","İzdiham","Sitempid","genel","0"
"Confluence","İzdiham","Kanfıluıns","genel","0"
"Enslave","Köleleştirmek, köle yapmak","","genel","0"
"Enmity","Düşmanlık","Enmiti","genel","0"
"Droopy","Sarkık","Dırupi","genel","0"
